Domain,Problem,CFA,Planner,Tool,Planning Results (%),Makespan (s),Number of Actions,Processing Time (s),Memory Usage (GB)
blocks_world,P03C07,DynamicProgramming,colin2,Object,134,-1,-1,1575,119.964149475
blocks_world,P03C08,DynamicProgramming,colin2,Object,0,63.062,76,443,10.1734466553
blocks_world,P03C09,DynamicProgramming,colin2,Object,0,106.102,120,1367,39.3774261475
blocks_world,P03C10,DynamicProgramming,colin2,Object,1,-1,-1,624,34.1927223206
blocks_world,P04C01,DynamicProgramming,colin2,Object,124,-1,-1,3602,97.9309196472
blocks_world,P04C02,DynamicProgramming,colin2,Object,124,-1,-1,3601,57.0075263977
blocks_world,P04C03,DynamicProgramming,colin2,Object,134,-1,-1,3166,119.980674744
blocks_world,P04C04,DynamicProgramming,colin2,Object,124,-1,-1,3602,55.1203346252
blocks_world,P04C05,DynamicProgramming,colin2,Object,134,-1,-1,1812,119.934188843
blocks_world,P04C06,DynamicProgramming,colin2,Object,0,49.042,58,19,0.164134979248
blocks_world,P04C07,DynamicProgramming,colin2,Object,0,47.041,61,142,1.44836044312
blocks_world,P04C08,DynamicProgramming,colin2,Object,1,-1,-1,214,6.00643539429
blocks_world,P04C09,DynamicProgramming,colin2,Object,0,62.051,54,22,0.278331756592
blocks_world,P04C10,DynamicProgramming,colin2,Object,0,48.039,53,117,0.685848236084
blocks_world,P05C01,DynamicProgramming,colin2,Object,0,39.046,59,408,25.7512435913
blocks_world,P05C02,DynamicProgramming,colin2,Object,134,-1,-1,1461,119.989116669
blocks_world,P05C03,DynamicProgramming,colin2,Object,1,-1,-1,65,2.87732696533
blocks_world,P05C04,DynamicProgramming,colin2,Object,0,60.062,66,85,6.18357086182
blocks_world,P05C05,DynamicProgramming,colin2,Object,0,45.056,70,212,15.116897583
blocks_world,P05C06,DynamicProgramming,colin2,Object,1,-1,-1,104,3.68399810791
blocks_world,P05C07,DynamicProgramming,colin2,Object,134,-1,-1,3173,119.98771286
blocks_world,P05C08,DynamicProgramming,colin2,Object,0,58.065,79,18,0.921192169189
blocks_world,P05C09,DynamicProgramming,colin2,Object,134,-1,-1,2698,119.957107544
blocks_world,P05C10,DynamicProgramming,colin2,Object,134,-1,-1,2884,119.972362518
blocks_world,P06C01,DynamicProgramming,colin2,Object,0,36.042,50,6,0.0690612792969
blocks_world,P06C02,DynamicProgramming,colin2,Object,0,37.038,51,6,0.0594863891602
blocks_world,P06C03,DynamicProgramming,colin2,Object,124,-1,-1,3602,114.960578918
blocks_world,P06C04,DynamicProgramming,colin2,Object,0,32.033,46,4,0.0690727233887
blocks_world,P06C05,DynamicProgramming,colin2,Object,0,56.061,68,103,4.04274368286
blocks_world,P06C06,DynamicProgramming,colin2,Object,1,-1,-1,3,0.0465316772461
blocks_world,P06C07,DynamicProgramming,colin2,Object,1,-1,-1,2,0.0342750549316
blocks_world,P06C08,DynamicProgramming,colin2,Object,0,41.044,54,59,1.02261734009
blocks_world,P06C09,DynamicProgramming,colin2,Object,1,-1,-1,831,16.9208450317
blocks_world,P06C10,DynamicProgramming,colin2,Object,1,-1,-1,18,0.218330383301
blocks_world,P07C01,DynamicProgramming,colin2,Object,0,58.069,83,362,14.5546226501
blocks_world,P07C02,DynamicProgramming,colin2,Object,0,42.050,64,124,2.93201828003
blocks_world,P07C03,DynamicProgramming,colin2,Object,0,65.066,77,7,0.0587348937988
blocks_world,P07C04,DynamicProgramming,colin2,Object,134,-1,-1,2165,119.952747345
blocks_world,P07C05,DynamicProgramming,colin2,Object,0,53.073,89,66,3.55698013306
blocks_world,P07C06,DynamicProgramming,colin2,Object,124,-1,-1,3602,80.1792297363
blocks_world,P07C07,DynamicProgramming,colin2,Object,134,-1,-1,2902,119.965904236
blocks_world,P07C08,DynamicProgramming,colin2,Object,0,38.038,53,14,0.145160675049
blocks_world,P07C09,DynamicProgramming,colin2,Object,0,43.050,63,31,1.52751541138
blocks_world,P07C10,DynamicProgramming,colin2,Object,0,51.055,69,22,0.196949005127
blocks_world,P08C01,DynamicProgramming,colin2,Object,134,-1,-1,2912,119.962348938
blocks_world,P08C02,DynamicProgramming,colin2,Object,124,-1,-1,3601,25.1073417664
blocks_world,P08C03,DynamicProgramming,colin2,Object,124,-1,-1,3602,115.406452179
blocks_world,P08C04,DynamicProgramming,colin2,Object,0,86.112,140,1199,43.6219215393
blocks_world,P08C05,DynamicProgramming,colin2,Object,134,-1,-1,2674,119.965068817
blocks_world,P08C06,DynamicProgramming,colin2,Object,134,-1,-1,3223,119.948257446
blocks_world,P08C07,DynamicProgramming,colin2,Object,1,-1,-1,2247,38.6444969177
blocks_world,P08C08,DynamicProgramming,colin2,Object,134,-1,-1,3364,119.958244324
blocks_world,P08C09,DynamicProgramming,colin2,Object,124,-1,-1,3602,68.3912239075
blocks_world,P08C10,DynamicProgramming,colin2,Object,134,-1,-1,3577,119.986644745
blocks_world,P09C01,DynamicProgramming,colin2,Object,0,45.045,63,80,2.65332794189
blocks_world,P09C02,DynamicProgramming,colin2,Object,1,-1,-1,7,0.136604309082
blocks_world,P09C03,DynamicProgramming,colin2,Object,0,54.048,52,2298,73.2799415588
blocks_world,P09C04,DynamicProgramming,colin2,Object,1,-1,-1,2,0.041332244873
